Player,PlayerID,Bats
Whit Merrifield,merriwh01,R
Trea Turner,turnetr01,R
Marcus Semien,semiema01,R
Bo Bichette,bichebo01,R
Dansby Swanson,swansda01,R
Vladimir Guerrero Jr.,guerrvl02,R
Amed Rosario,rosaram01,R
Starlin Castro,castrst01,R
Isiah Kiner-Falefa,kineris01,R
José Abreu,abreujo02,R
Manny Machado,machama01,R
Jose Peraza,perazjo01,R
Ronald Acuna Jr.,acunaro01,R
David Fletcher,fletcda02,R
Jonathan Schoop,schoojo01,R
Nick Castellanos,casteni01,R
Mitch Haniger,hanigmi01,R
Salvador Perez,perezsa02,R
Giancarlo Stanton,stantmi03,R
Austin Riley,rileyau01,R
Xander Bogaerts,bogaexa01,R
Kevin Pillar,pillake01,R
Javier Baez,baezja01,R
Adolis García,garciad02,R
Paul Goldschmidt,goldspa01,R
DJ LeMahieu,lemahdj01,R
Trey Mancini,mancitr01,R
Jose Altuve,altuvjo01,R
Elvis Andrus,andruel01,R
Trevor Story,storytr01,R
Pete Alonso,alonspe01,R
Mookie Betts,bettsmo01,R
Alex Bregman,bregmal01,R
Nolan Arenado,arenano01,R
Bobby Witt,wittbo02,R
Brian Anderson,anderbr06,R
Rhys Hoskins,hoskirh01,R
Jorge Soler,solerjo01,R
Randy Arozarena,arozara01,R
Alec Bohm,bohmal01,R
Randal Grichuk,grichra01,R
Jean Segura,segurje01,R
Matt Chapman,chapmma01,R
Paul DeJong,dejonpa01,R
Christian Walker,walkech02,R
Marcell Ozuna,ozunama01,R
Adam Jones,jonesad01,R
Khris Davis,daviskh01,R
C.J. Cron,croncj01,R
J.D. Martinez,martijd02,R
Eugenio Suarez,suareeu01,R
Miguel Andujar,andujmi01,R
Ty France,francty01,R
Aaron Judge,judgeaa01,R
Andrew McCutchen,mccutan01,R
Tim Anderson,anderti01,R
Tommy Pham,phamth01,R
Yuli Gurriel,gourryu01,R
Myles Straw,strawmy01,R
Willy Adames,adamewi01,R
Lorenzo Cain,cainlo01,R
Starling Marte,martest01,R
Nick Ahmed,ahmedni01,R
Carlos Correa,correca01,R
Ian Desmond,desmoia01,R
Ryan Mountcastle,mountry01,R
Yasiel Puig,puigya01,R
Andrelton Simmons,simmoan01,R
Brian Dozier,doziebr01,R
Teoscar Hernandez,hernate01,R
Josh Donaldson,donaljo02,R
Stephen Piscotty,piscost01,R
Victor Robles,roblevi01,R
Gleyber Torres,torregl01,R
Anthony Rendon,rendoan01,R
George Springer,springe01,R
Kris Bryant,bryankr01,R
Renato Nunez,nunezre01,R
J.T. Realmuto,realmjt01,R
Sean Murphy,murphse01,R
Chris Taylor,tayloch03,R
Austin Hays,haysau01,R
Jose Martinez,martijo08,R
Justin Turner,turneju01,R
Justin Upton,uptonju01,R
Jonathan India,indiajo01,R
Brendan Rodgers,rodgebr02,R
Kyle Farmer,farmeky01,R
Wilmer Flores,florewi01,R
Hanser Alberto,alberha01,R
Hunter Dozier,doziehu01,R
Jeremy Pena,penaje02,R
