attendance,date,start_time,Stadium,weather,wind
38450,10/1/2018,12:05 PM,CHC-Wrigley Fld,"65 degrees, overcast","6 mph, R to L"
47816,10/1/2018,1:09 PM,LAD-Dodger Stad,"90 degrees, sunny","6 mph, Out to CF"
24916,9/30/2018,3:09 PM,BAL-Camden Yards,"77 degrees, sunny","1 mph, R to L"
36201,9/30/2018,3:07 PM,BOS-Fenway Pk,"68 degrees, partly cloudy","10 mph, Out to RF"
39275,9/30/2018,2:22 PM,CHC-Wrigley Fld,"60 degrees, cloudy","2 mph, Varies"
25091,9/30/2018,3:10 PM,CIN-GreatAmer BP,"79 degrees, sunny","3 mph, R to L"
47833,9/30/2018,1:12 PM,COL-Coors Fld,"52 degrees, partly cloudy","6 mph, R to L"
19690,9/30/2018,2:17 PM,KCR-KauffmanStad,"76 degrees, cloudy","11 mph, R to L"
36892,9/30/2018,12:09 PM,LAA-Angel Stad,"80 degrees, sunny","4 mph, Out to CF"
41848,9/30/2018,2:10 PM,MIL-Am Fam Field,"66 degrees, roof closed","0 mph, None"
30144,9/30/2018,2:13 PM,MIN-Target Field,"50 degrees, overcast","8 mph, Out to CF"
28346,9/30/2018,3:10 PM,NYM-Citi Field,"71 degrees, sunny","8 mph, Out to LF"
34202,9/30/2018,3:09 PM,PHI-CitizensBank,"74 degrees, sunny","5 mph, Out to CF"
31243,9/30/2018,12:11 PM,SDP-Petco Pk,"79 degrees, partly cloudy","4 mph, L to R"
21146,9/30/2018,12:10 PM,SEA-T-Mobile Pk,"65 degrees, cloudy","0 mph, Calm"
41280,9/30/2018,12:06 PM,SFG-Oracle Park,"68 degrees, partly cloudy","7 mph, Out to CF"
13313,9/30/2018,3:09 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
1,9/29/2018,4:07 PM,BAL-Camden Yards,"78 degrees, partly cloudy","7 mph, Out to RF"
26020,9/29/2018,7:38 PM,BAL-Camden Yards,"74 degrees, partly cloudy","3 mph, In from LF"
36375,9/29/2018,1:06 PM,BOS-Fenway Pk,"70 degrees, partly cloudy","8 mph, L to R"
40784,9/29/2018,12:05 PM,CHC-Wrigley Fld,"59 degrees, partly cloudy","7 mph, Calm"
42630,9/29/2018,4:10 PM,CIN-GreatAmer BP,"71 degrees, sunny","2 mph, Varies"
47781,9/29/2018,6:11 PM,COL-Coors Fld,"84 degrees, partly cloudy","5 mph, Out to LF"
23324,9/29/2018,6:16 PM,KCR-KauffmanStad,"72 degrees, cloudy","5 mph, R to L"
43762,9/29/2018,6:09 PM,LAA-Angel Stad,"73 degrees, clear","8 mph, Out to CF"
45520,9/29/2018,6:10 PM,MIL-Am Fam Field,"64 degrees, roof closed","0 mph, None"
32717,9/29/2018,6:10 PM,MIN-Target Field,"47 degrees, overcast","9 mph, In from CF"
43928,9/29/2018,7:12 PM,NYM-Citi Field,"69 degrees, cloudy","12 mph, In from LF"
30886,9/29/2018,7:09 PM,PHI-CitizensBank,"71 degrees, clear","7 mph, Out to RF"
28024,9/29/2018,5:40 PM,SDP-Petco Pk,"73 degrees, clear","9 mph, Out to RF"
31780,9/29/2018,6:11 PM,SEA-T-Mobile Pk,"67 degrees, cloudy","1 mph, In from CF"
41768,9/29/2018,1:06 PM,SFG-Oracle Park,"66 degrees, partly cloudy","12 mph, Out to CF"
13221,9/29/2018,6:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
18434,9/28/2018,7:08 PM,BAL-Camden Yards,"71 degrees, partly cloudy","2 mph, R to L"
36779,9/28/2018,7:11 PM,BOS-Fenway Pk,"60 degrees, cloudy","5 mph, In from RF"
39442,9/28/2018,1:21 PM,CHC-Wrigley Fld,"60 degrees, overcast","9 mph, L to R"
19689,9/28/2018,6:41 PM,CIN-GreatAmer BP,"71 degrees, clear","7 mph, R to L"
